id,TA,TB,TC,TD,A,B,C,D
m38,19307.66667,21408.66667,24490.66667,31545.66667,14283,25269,15123,14553
m39,78791.66667,76968.33333,98055,111255.3333,100694.3333,88026.33333,81147.66667,67913.33333
m40,45627333.33,43934000,59497333.33,101703666.7,47262666.67,45795000,59419000,52732666.67
m41,49188000,46449333.33,63487000,107090333.3,51407666.67,47388333.33,63173000,55596000
m42,701323.3333,619580,984703.3333,2115966.667,701093.3333,655840,1034306.667,841476.6667
m43,47314000,45324666.67,62966000,106885666.7,49806000,47165333.33,62433333.33,55414666.67
m44,692830,296040,305233.3333,255696.6667,756716.6667,338863.3333,306373.3333,279463.3333
m45,70929.66667,31387.33333,32832.33333,27398.33333,82765.33333,33619.66667,33367.33333,29602.33333
m46,73992,33471.66667,37036.33333,25582.33333,81170,33419.66667,35781,30720.66667
m47,70406.33333,27113.33333,31621.66667,26015,85512.66667,36040.33333,29400,27010
m48,80011.33333,32113,38044.66667,26666.33333,86498.33333,41530,31776.66667,30447.33333
m49,120980,65166,85564.33333,154740,141583.3333,66131,68705.66667,65234.66667
m50,7821.9,7199.533333,72331,100628,10184.5,13408.26667,37990.66667,31964.66667
m51,1016643.333,1532766.667,8410566.667,10007466.67,1801500,1856400,4868933.333,4388900
m52,25692.33333,25491,42805.33333,157826.6667,17998.33333,32644.66667,96634.66667,34854.33333
m53,23003.86667,29112,129483.6667,172893.3333,20801,36212.33333,50783,37395
m54,295723.3333,438580,1926233.333,3122166.667,418310,598300,1061010,650913.3333
m55,40409000,42853666.67,35110666.67,30304666.67,31860000,38887333.33,40530333.33,39586333.33
m56,1227800,1546866.667,1074100,1049953.333,1042460,1174070,1239266.667,1312466.667
m57,24682333.33,24172666.67,19812333.33,18532333.33,24344000,24114666.67,21615333.33,22893333.33
m58,2548666.667,4288200,4121600,6374800,3422266.667,3332566.667,8244633.333,6307066.667
m59,9,8286.466667,9106.633333,14785.33333,14958,8492.866667,18423.66667,22064.66667
m60,3199500,3746433.333,3018933.333,2888000,4258233.333,4104300,3117200,3116200
m61,796210,977520,907630,1053403.333,623946.6667,887063.3333,846826.6667,786723.3333
m62,19291,16410.66667,19181.66667,90530.66667,28941,19895,18173.66667,20633.66667
m63,20926,5449.3,9,9,28368,8730.433333,9,6311.233333
m64,14047.3,9,1388.066667,9,27963.33333,11610.56667,1029.833333,6602.933333
m65,1392233.333,1651233.333,1264080,1657000,1961900,1530566.667,2945866.667,2201566.667
m66,126940,65314.66667,45179.33333,29024,190273.3333,83889.66667,71151.66667,82567.33333
m67,167326.6667,115796.6667,58767.66667,46746.33333,186696.6667,94056.33333,134003.3333,102308.3333
m68,11425.16667,9,22540.33333,20024.33333,3367.333333,3580,11450.23333,12570.03333
m69,43316333.33,42592000,45435333.33,36056666.67,47953000,40864333.33,43425666.67,49791666.67
m70,22081.33333,33305,28474,9643.5,21019,39717,41600,41568.33333
m71,289156.6667,222143.3333,249000,367440,529623.3333,395590,367193.3333,450100
m72,9,9,131857.3333,254616.6667,123156.6667,77432.66667,276613.3333,523150
m73,3164.966667,2572.566667,4854.066667,2775.7,4945.5,2499.033333,1993.6,2913.7
m74,3279.333333,3128.433333,4401.066667,2320.966667,4398.433333,2124.066667,2228.3,3093.033333
m75,1680266.667,1703666.667,1774933.333,1795933.333,1765566.667,1762300,1821433.333,1788600
m76,152176.6667,173873.3333,192610,227610,231856.6667,138440,174503.3333,156426.6667
m77,30193,25660.33333,57817.66667,96896.33333,40732.66667,31577.33333,57828.66667,27312
m78,1106633.333,1524500,1683733.333,1946633.333,2702700,2643066.667,4000866.667,4310466.667
m79,206890,138373.3333,179690,160616.6667,213983.3333,147270,81302.66667,121671
m80,186656.6667,78026.33333,98719.66667,120796.6667,208540,77341.33333,69820,65842.33333
m81,1506800,2067400,1821566.667,2641500,1395800,1614666.667,1923833.333,1895533.333
m82,1565900,2048766.667,1843300,2671433.333,1285866.667,1647000,1929266.667,1964533.333
m83,3388200,2606966.667,2761200,4219266.667,3999300,1918433.333,1886033.333,1715700
m84,48465,41721.33333,237736.6667,396320,55574,82288.33333,71936.66667,56552
m85,4109433.333,4444300,20340000,31821333.33,5867133.333,7621600,9585066.667,6282400
m86,18583,22339,58894.33333,107730,34291.66667,41383.66667,48443.66667,40257.33333
m87,16533.13333,23699.33333,64813.66667,95227.33333,16313.33333,30466.33333,32450.66667,38759.66667
m88,1253400,1035723.333,1124700,1644533.333,1312033.333,1154700,1174466.667,1135266.667
m89,37710.33333,29242.66667,46904.66667,50607.33333,33139.33333,29338.66667,27095.66667,28131.33333
m90,73124,74729.66667,88605.33333,73909,61273.33333,77376,59082.33333,65288.66667
m91,29891.33333,34059,47647.66667,43953.33333,33796,34370,21987.33333,33750
m92,36680.33333,36594.66667,48387.33333,55400.66667,40274.66667,43243.33333,37967,40015.33333
m93,52606.66667,41015.33333,57480,40471.33333,25218.66667,42038.33333,39460.66667,42585.66667
m94,25737,11200.86667,10891.23333,11712.9,21059,12060.5,9,6693.266667
m95,390136.6667,409473.3333,646030,1241766.667,422523.3333,409843.3333,370156.6667,457436.6667
m96,13868.66667,10725.63333,20384.66667,47223.66667,14046.66667,13248.03333,14389,15110.33333
m97,53301,44885.33333,53096,56236.33333,63981,47463,38285,46843.66667
m98,198560,118374,124776,198126.6667,294226.6667,143033.3333,124512.6667,123310.3333
m99,182550,119032.6667,120308,181726.6667,236033.3333,137053.3333,107083.3333,109645.6667
m100,443996.6667,304483.3333,275016.6667,458346.6667,740620,331213.3333,220340,284470
m101,56472.33333,53980,40326,27819.33333,46854.33333,84828.33333,69104,72257.66667
m102,9375.933333,8139.766667,14459.33333,23617,13941.8,12883.6,9296.766667,16398.33333
m103,22615,15543.33333,23095,59499.66667,23965,15255.33333,17782.33333,21535.66667
m104,7316.366667,3210.133333,13036.33333,12841.66667,3721.4,3625.666667,6986.566667,7405.533333
m105,80588.66667,31258.33333,38527.66667,296740,124502,56659,52190,47160
m106,61771,34670,37040.33333,254140,98445,49621.66667,30213.33333,37572.33333
m107,122310,97449.33333,89791.66667,77045.33333,86133.66667,69451.33333,94789.66667,120090
m108,9,6437.166667,3514.666667,9,6243.766667,11340.63333,17755,13528.33333
m109,32439,26895.66667,14946.66667,4945.7,23356,9971.766667,24436.66667,35099.33333
m110,30812.33333,23028.33333,13458.33333,5655.8,19419,31271,35510.33333,28874
m111,23815.66667,30204,47548.66667,34880.66667,23413.66667,26528.33333,23803.33333,43070.33333
m112,27171.33333,30924.66667,54716,41111.66667,28424,29209,29670.33333,39611
m113,24941,19707.66667,29636.66667,21971,23261.66667,22814.66667,17155.33333,27508
m114,41581.66667,50244.66667,38925.66667,30180.66667,47323.66667,50827.33333,48071,45955.66667
m115,11296.36667,20982,10773.16667,5737.966667,7894.733333,16313,16793,13249
m116,84625,47446.33333,62628.66667,96547,109356.6667,52088.66667,31316.33333,48261.33333
m117,149900,67392.66667,139543.3333,198796.6667,173416.6667,100708.6667,73716.66667,62756.33333
m118,197904.6667,101950.6667,149926.6667,307986.6667,205340,123246.6667,89955.66667,86936.66667
m119,10065.43333,13425.8,12804.33333,8813.2,7361.8,9786.833333,12185.46667,12554.66667
m120,58512.33333,80178,178603.3333,603513.3333,105284,84311,95183,108648
m121,613446.6667,591650,648820,847980,668786.6667,605410,617133.3333,620153.3333
m122,6510.7,9367.433333,6192.166667,5858.7,9644.066667,5929.666667,5492.966667,7307.1
m123,16751.33333,11657.83333,15165.2,26620,23545,17034.66667,11573.56667,15548
m124,71340,72155.33333,64921.66667,85401.66667,72008,51973.33333,37306,46358.66667
m125,184610,111975,106658.3333,182200,266646.6667,118664.6667,95488,113426.6667
m126,44500.66667,48771,49994.33333,54355,50035.66667,60832.33333,52166.66667,46964
m127,13726.33333,11706.06667,19072.33333,325360,16897.33333,10654.1,13391.6,15080.36667
m128,38634,41238.66667,47713.66667,79105.66667,40973.66667,40203.66667,27869,32237.33333
m129,30243.66667,20081,17630.33333,13923.33333,32666.33333,32123.66667,14232,15956.33333
m130,71556.33333,65661.66667,18898.33333,34323,86457.33333,29942.66667,7643.833333,20359.66667
m131,10015.93333,8115.033333,9,9,13167.66667,9473.033333,6385.333333,6306.366667
m132,201786.6667,234456.6667,204013.3333,111942.6667,338950,132786.6667,287313.3333,339740
m133,84314.66667,78922.66667,14064.66667,37206.66667,92144.66667,31898.33333,5109.333333,23563.33333
m134,3244533.333,3455766.667,3424733.333,3070833.333,3387600,3696033.333,3911433.333,3707433.333
m135,70715,115873.3333,106789.3333,163970,95371.33333,85073.66667,226700,179716.6667
m136,1381400,1408833.333,3656733.333,5145633.333,1511866.667,1125700,2058300,2071266.667
m137,33186.66667,40382.33333,50319.33333,60523,45335.66667,49039.33333,36117.66667,41439
m138,368000,378360,449570,481703.3333,529240,464646.6667,374943.3333,292486.6667
m139,2688466.667,2899466.667,7086700,10602666.67,3023333.333,2472533.333,4371233.333,4386433.333
m140,3838300,4662000,4270233.333,5178866.667,5098700,4855566.667,5617366.667,5029233.333
m141,125873.3333,100554.3333,78528.33333,52456.33333,117066.6667,95151,152083.3333,136816.6667
m142,19428,33323.66667,23694,4376.066667,19624,18131.66667,91199.33333,47623.33333
m143,10161.56667,8067.466667,8385.566667,12870.13333,13761.33333,8673.866667,9067.1,9263.633333
m144,21782,45170,39348.66667,2253.166667,23846.66667,26359.33333,128770,55612
m145,20182.33333,13721.66667,13375.33333,18137.66667,24536.66667,19970.66667,19350.66667,20559
m146,35237.66667,32588.33333,86384.33333,137196.6667,42671.66667,41162.33333,41505.33333,38289
m147,29566.66667,21659.66667,65746.66667,105561,32593.33333,32969.66667,37424,29755.33333
m148,57392,43607.33333,102575,188280,57884.66667,37516.66667,46493.66667,57857
m149,954666.6667,784633.3333,584783.3333,694783.3333,1132200,980623.3333,678820,752796.6667
m150,15056.33333,15913.66667,13949.66667,10391.23333,15752,17496.33333,16835,15502.33333
m151,156920,223843.3333,72506.66667,39303,169793.3333,223703.3333,210526.6667,225726.6667
m152,7041.6,10326.36667,8229.033333,4378.5,9541.1,11023.6,15966.33333,13968
m153,10913.83333,12518.26667,12380.66667,12138.33333,12384,17194,13962.5,12346.3
m154,710276.6667,971220,982090,845383.3333,892213.3333,1189166.667,1397966.667,1216333.333
m155,80830.33333,58067.33333,125973.3333,242330,152616.6667,49510.66667,46105.66667,56634
m156,41918.66667,33017,58910.33333,99968.66667,66546,26059.66667,18754.33333,27763.66667
m157,84360,83636.33333,112921.3333,162266.6667,164823.3333,66362,58126.33333,64656.33333
m158,10669833.33,9783033.333,21331333.33,39747333.33,11388500,10318700,7258533.333,8630566.667
m159,145923.3333,73813.33333,115636.6667,136926.6667,155950,103980.6667,38629.66667,48112
m160,6009.666667,5581.9,5008.4,5689.2,5444.4,5423.7,5245.366667,5337.033333
m161,9074.566667,9457.3,26278.33333,23178,21311.33333,21747,36383,15996.33333
m162,3873300,2059066.667,3258433.333,4039100,4684233.333,3287600,2489466.667,2578400
m163,1255933.333,1252133.333,1355166.667,1053010,1315266.667,1221800,1016183.333,991393.3333
m164,472843.3333,332423.3333,361760,595910,506096.6667,385913.3333,326493.3333,382730
m165,1875400,2437166.667,2216233.333,2777400,1286333.333,2022833.333,2784966.667,2144233.333
m166,63372333.33,74559666.67,64595000,66548333.33,51431333.33,75225666.67,86061000,80225333.33
m167,571823.3333,764210,687230,684016.6667,464703.3333,751760,1087966.667,854483.3333
m168,188656.6667,125303,388176.6667,502886.6667,292110,159530,134584.3333,170703.3333
m169,1297433.333,746700,2051133.333,3610533.333,1827533.333,1007030,989750,1521600
m170,4582366.667,3062866.667,11884333.33,20197333.33,6568466.667,4364000,3421733.333,4988766.667
m171,20287,21012.66667,47787.66667,89799.33333,16071.33333,11043.13333,11438.6,10996
m172,20348.33333,19175.33333,56473.33333,87010.66667,15357.9,9,11918.7,9
m173,21352,21285,50368,84095.33333,19411.66667,12958.66667,13031.66667,19464.66667
m174,15117,12724,39646.33333,83184.66667,21739,27301.66667,34315.33333,30939.66667
m175,30624.33333,26064.33333,23270.33333,16868,34565,33772.66667,30620.66667,43931
m176,162476.6667,160570,273030,355676.6667,180716.6667,162403.3333,152836.6667,138346.6667
m177,193643.3333,208893.3333,298630,350923.3333,186180,182693.3333,176783.3333,166310
m178,6299.766667,4122.766667,3969.733333,5706,5945.2,5541.166667,5203.2,4297.266667
m179,155400,162506.6667,234343.3333,279686.6667,139516.6667,140486.6667,135000,124146.6667
m180,9254.133333,5970.9,16255.66667,16398.66667,10150,8470.1,14311.66667,10219.73333
m181,956763.3333,2258500,3259066.667,2414900,2855300,2111266.667,2410800,2336400
m182,20548.33333,13719,21062.66667,307436.6667,28360.33333,13108.33333,19786.33333,11959.33333
m183,89371.33333,88820.33333,84638.33333,30033,83188.66667,98688.33333,82429.33333,114786.6667
m184,6533666.667,4238100,3998666.667,6977866.667,9802766.667,4775233.333,4047666.667,4216233.333
m185,8343633.333,5085433.333,4483100,7601566.667,13266333.33,5383433.333,4492633.333,4929700
m186,7265400,4377733.333,3965400,7143466.667,10797000,4949400,4203166.667,4385866.667
m187,5297000,3139366.667,2643366.667,4853233.333,8347166.667,3664233.333,2624666.667,3117133.333
m188,7599600,4333500,4019733.333,6758266.667,10539833.33,4829166.667,4010000,4452400
m189,4460.2,4624.233333,1322.7,708.2333333,16529.33333,6557.4,1793.633333,1111.4
m190,12045.33333,6568.566667,7867.466667,5470.733333,16446.33333,8476.366667,4262.6,6130.666667
m191,22559,18864.66667,18609.33333,18678,28195.66667,22826.33333,10143.73333,16742.66667
m192,637883.3333,991456.6667,961383.3333,1502500,779766.6667,750840,1974133.333,1412396.667
m193,2784.566667,3402.1,4085.833333,13396,2565.366667,3028.1,3905.333333,4161.066667
m194,212660,340266.6667,221663.3333,59936,196873.3333,302906.6667,270366.6667,290050
m195,213603.3333,328473.3333,208893.3333,66983.33333,179133.3333,296400,266100,302926.6667
m196,63861,98450,111449.6667,75443.33333,76352,84178.66667,83459.66667,91081.33333
m197,81119,84518,98808,80951.66667,96734,78050.66667,74951.33333,92949.66667
m198,24538.66667,30756.33333,38820,30067.66667,27751,28990,28548.66667,34627
m199,112233.3333,146940,126323.3333,48148,98823.33333,131193.3333,140816.6667,143756.6667
m200,72318,42250.66667,62629.33333,85548.33333,93759.33333,48168.66667,46780.33333,44701.66667
m201,1079773.333,1171800,2123400,3683433.333,1138533.333,963826.6667,964843.3333,968896.6667
m202,1112300,1196633.333,2103966.667,3854933.333,1190500,1011430,967076.6667,972640
m203,1094666.667,1160266.667,2071333.333,3949100,1321866.667,1026590,907890,958230
m204,172793.3333,200240,346736.6667,704123.3333,226703.3333,184526.6667,182886.6667,193130
m205,44825.66667,40544.66667,109413,236273.3333,75039.33333,43103,46106,49225.66667
m206,80953.66667,78550.33333,124103.3333,224230,101083,62221.33333,73235.66667,82248.33333
m207,711763.3333,671686.6667,558596.6667,619866.6667,683453.3333,600070,518703.3333,523163.3333
m208,377426.6667,373870,298496.6667,244680,342123.3333,364606.6667,580520,381626.6667
m209,32879.33333,20749.33333,72554.66667,126753.3333,38173.33333,22858,20301.33333,27832.33333
m210,37346.33333,25471,84128.66667,159246.6667,51149,28237.66667,21536.33333,36435.66667
m211,23194,16850.33333,21889.66667,71536.33333,34229,24234,14062.66667,13393.16667
m212,3021366.667,4625733.333,4225866.667,3875233.333,2555800,3893633.333,5393633.333,4143900
m213,448803.3333,765033.3333,664580,682666.6667,335936.6667,565150,856670,646676.6667
m214,25656.66667,30095.33333,22603.33333,19733.66667,27202.33333,27878.66667,45171,23147.33333
m215,967896.6667,1516966.667,2068600,1202766.667,593323.3333,871730,1559433.333,1341866.667
m216,82651.66667,62509,91131,148706.6667,66963.33333,96191,45441.66667,50547.33333
m217,15998,16422.66667,16205.33333,33580.33333,18777.66667,13787.56667,23915,18798.66667
m218,11330,6303,9276.633333,11065.76667,9765.866667,9940.366667,6058.9,8086.5
m219,8287266.667,9144933.333,11728000,10728666.67,6954966.667,9564133.333,7130933.333,7189533.333
m220,1911833.333,2141466.667,3122133.333,2878833.333,1294003.333,2136000,1758466.667,1837333.333
m221,86694,57457,49478.66667,19077.33333,120096.6667,91311,47311.33333,61834.33333
m222,61629.33333,64408.66667,74075,33833.66667,114298.6667,65813.66667,50003.66667,66235.33333
m223,179883.3333,54574.33333,8299.466667,9,106246.6667,46993.33333,10863.8,29629.66667
m224,32974,26193.33333,38190.33333,28066.33333,32509.33333,24395.66667,31575.66667,32313
m225,49686.33333,53722.33333,52604.66667,33589.33333,55509,54930,46526,53812.66667
m226,91954,115450,152070,371686.6667,102766.6667,101320.3333,144620,134686.6667
m227,621606.6667,819610,943890,1770433.333,783913.3333,784960,758766.6667,781710
m228,11366.73333,22054.33333,15569.33333,24796,14436.06667,18412.66667,28805.66667,19972.66667
m229,11195.66667,14576.33333,7492.466667,2573.133333,12205.2,10022,8208.366667,8703.266667
m230,34195,34860.33333,36735.66667,63157.66667,34415.66667,35867.33333,28783,28025.33333
m231,20696.33333,27533.33333,19466,15560,46852.33333,52405.33333,12968.33333,12826.33333
m232,97647,68787.66667,110490,195506.6667,78075.66667,79178,56008,60115
m233,349673.3333,772913.3333,845980,536690,295186.6667,539390,739276.6667,652603.3333
m234,456536.6667,971286.6667,1055376.667,631016.6667,408566.6667,646950,958923.3333,876723.3333
m235,219456.6667,217646.6667,322946.6667,1003856.667,219720,133103.3333,275683.3333,246063.3333
m236,159163.3333,174246.6667,155333.3333,89506,164400,161843.3333,165866.6667,179183.3333
m237,11357.2,10465.3,11225.26667,7195.533333,10016.8,10999.6,9042.466667,10050.63333
m238,33858.66667,28240,32837.66667,45304.66667,38098.66667,30871.66667,28470.33333,29838.66667
m239,37998,29957.33333,32531.33333,48829,37020.66667,28800.66667,29717,29661
m240,27612.66667,30094.33333,41132.33333,25036.33333,23537.33333,30907.66667,76366.66667,40047.33333
m241,47278,35321,31982,24222,44198,38512.33333,45835,44289.66667
m242,109574,116429.3333,241750,631060,96300.33333,101750,89382.66667,103154.6667
m243,5965.166667,4112.966667,2401.333333,2862.333333,3209.166667,5588.333333,2702.733333,2470.766667
m244,270433.3333,269553.3333,244753.3333,222213.3333,249013.3333,252006.6667,270196.6667,227016.6667
m245,643830,635410,665256.6667,731763.3333,822600,589310,573746.6667,583710
m246,485190,411333.3333,383550,671803.3333,634713.3333,435953.3333,349850,342136.6667
m247,389900,323580,257513.3333,485263.3333,449673.3333,324370,300240,311120
m248,6846.966667,9053.4,7187.733333,8382.133333,6303.9,5482.433333,7236.2,8238.633333
m249,10357.86667,11918.63333,5979.466667,8812.033333,7384.1,8688.033333,5463.6,6322.6
m250,1277.576667,1434.833333,9,1195.316667,830.7433333,1265.833333,141.0133333,193.5333333
m251,4634.8,4773.6,4107.1,5185.766667,5201.633333,4476.966667,5433.366667,4705.833333
m252,80769.33333,100602.3333,117628.6667,61341.33333,59352.66667,72442,87232.33333,82965.66667
m253,20958.66667,21411.66667,19592.33333,20605.66667,23707.33333,20538,34832.33333,19935.33333
m254,1100313.333,1395666.667,1233733.333,1358566.667,1040106.667,1173533.333,1323600,1181400
m255,20145,14128.33333,15800.66667,26780.66667,35324.66667,21898,28686.33333,20959.33333
m256,1026360,1001900,940666.6667,852330,1043923.333,1107933.333,1091343.333,1144066.667
m257,702443.3333,688026.6667,581946.6667,631566.6667,742133.3333,724236.6667,782363.3333,782220
m258,156970,169766.6667,157830,153953.3333,210396.6667,167573.3333,157316.6667,155713.3333
m259,193296.6667,208406.6667,257906.6667,301430,267206.6667,194976.6667,188193.3333,201790
m260,803166.6667,1162100,867036.6667,341080,840656.6667,1060953.333,1147300,938610
m261,7363.9,7327.366667,6449.3,5425.8,4765.266667,7540.833333,8153.6,6763.1
m262,22627,19891.66667,23839.66667,21165.66667,21367,24327.66667,24708.66667,30941
m263,53287.33333,65206.66667,79886.33333,35046.66667,68086,70517,94113,66219.33333
m264,50025,44581,38765.66667,41861,54025.66667,40329,36802.66667,40890
m265,1257666.667,645256.6667,755746.6667,1923966.667,1035600,658470,457070,436573.3333
m266,1512.866667,1255.066667,1409.476667,1045.353333,1263.5,1323.766667,1792.366667,1780.323333
m267,9877.1,7755.9,12969.66667,13620.33333,16517.33333,12826.66667,8433,8914.866667
m268,887606.6667,962206.6667,1013030,1302466.667,901093.3333,882913.3333,787546.6667,678180
m269,97368.66667,59767.66667,57170.66667,96407.33333,70343.66667,53464,42526,49264.66667
m270,24041666.67,21453666.67,21631333.33,22830333.33,25801333.33,23758333.33,22670333.33,23223666.67
m271,17966.66667,22723.33333,19614.66667,10244.66667,24551.33333,22835.33333,29402,22349.33333
m272,32801.66667,17634.66667,17012.66667,22477.66667,27933.33333,22637,19094,18923.66667
m273,16678.66667,12089,8645.8,18088.66667,12910.66667,10208.7,6272.9,7629.9
m274,52679.33333,34646.33333,52476,46835,56836,39441,36957,71012.33333
m275,73149.33333,51016,90736.66667,119276.6667,105047,70250,71028,147323.3333
m276,12379.5,5214.5,9413.2,26509.33333,15781.03333,7987.433333,5771.5,10757
m277,17069.33333,14665,18711,33365,17634.33333,16026.66667,17218.66667,17231
m278,4147.4,4051.033333,4075.1,3604.366667,3632.566667,4145.933333,3614.666667,3689.9
m279,349240,355866.6667,325373.3333,319216.6667,327290,324403.3333,334543.3333,325460
m280,41167.66667,46026,58122,62948.66667,44217.33333,42449.66667,69454.33333,57767.33333
m281,133960,167100,123253.3333,57180.66667,132806.6667,149560,156876.6667,155923.3333
m282,62258,44318.33333,291293.3333,620170,86782.66667,52178.66667,49385,46021.66667
m283,3329.9,2802.133333,1703.093333,2964,3728.7,3805.833333,2524.2,2768.9
m284,229773.3333,240486.6667,330386.6667,1321666.667,448133.3333,372223.3333,473836.6667,605760
m285,16532.33333,19017,18020.33333,16940,16778.33333,16674,17936.33333,19013.33333
m286,15818,24813.66667,15194.33333,7184.866667,16091,15767,16612.66667,20185.66667
m287,1844866.667,2204600,3240200,5779400,2338900,3014300,2346300,1723200
m288,1489300,1857133.333,2375100,4564900,1950533.333,2409500,1855233.333,1434033.333
m289,1470533.333,1537300,2533500,4660766.667,1650733.333,2787866.667,1857333.333,1377266.667
m290,29865,25824.33333,43879.33333,65114.33333,44459,24593,30010,35093.33333
m291,20484.33333,19417,27042.66667,41845,21583,22892.66667,26972,21373.66667
m292,1859100,1077710,1465266.667,4831766.667,1795133.333,1423133.333,1027230,1240066.667
m293,23239.33333,13414.4,36199.66667,30821,22368.33333,14820.66667,8131.4,16732
m294,98880.66667,78748.66667,44749,32944,93293.33333,73069,36275.33333,77606
m295,337273.3333,297083.3333,309406.6667,300603.3333,252183.3333,254970,259110,246763.3333
m296,240670,255556.6667,117597,62397,246896.6667,235103.3333,410450,346533.3333
m297,40977,19562.33333,18951.66667,99983.33333,32153,18131,15125.66667,16273.66667
m298,13552.66667,10100.73333,21283.66667,16159,15239.66667,11631.5,13860.33333,13629
m299,9467700,7782166.667,8999066.667,13358000,10704333.33,9803366.667,9122066.667,8988633.333
m300,9977433.333,8297400,9442900,13099333.33,10796000,9574633.333,9686833.333,9522900
m301,9979700,8272233.333,9230600,13153000,10935666.67,9427866.667,9382166.667,9330733.333
m302,70103.66667,63349.33333,85746,105063.3333,97766,61113.33333,72720.33333,69689.66667
m303,1371600,1126166.667,1327400,1731166.667,1567933.333,1338733.333,1328633.333,1380366.667
m304,4533800,2545000,2757000,4853166.667,3550500,3148033.333,3322466.667,3259066.667
m305,192476.6667,112143.3333,144280,456843.3333,202693.3333,147266.6667,106296.6667,126460
m306,3540000,2049066.667,2323133.333,3933100,2804066.667,2514333.333,2744400,2653300
m307,6141.566667,3591.9,4060.366667,6203.2,4110.133333,4117.566667,3784.566667,3610.6
m308,65504,56455,76955,99002.33333,65182.33333,51089.33333,78576,65457.33333
m309,16386333.33,9644100,10586900,12860666.67,13901666.67,12387666.67,11488000,11863000
m310,11438,6582.866667,7518.266667,7833.3,10189,8264.433333,7272.366667,8343.233333
m311,17750.33333,21307.33333,23253.33333,11072.06667,16604.66667,18045,26803,26775.33333
m312,407920,485383.3333,1222500,3770766.667,465383.3333,453766.6667,684653.3333,1067823.333
m313,6885,5685.066667,5113.233333,8618.5,8651.833333,7091.433333,5163.566667,7284.666667
m314,1203200,483203.3333,478063.3333,591936.6667,723906.6667,594633.3333,508396.6667,556516.6667
m315,1262.6,2287.3,2647.833333,1113.966667,1281.776667,1459.266667,4018.466667,2223.133333
