Protein.Group	Protein.Ids	Genes	Run	Precursor.Normalised
PZ00001a035157	PZ00001a035157		B73_TMT1_1	0.0
PZ00001a035526	PZ00001a035526		B73_TMT1_1	0.0
PZ00001a035651	PZ00001a035651		B73_TMT1_1	0.0
PZ00001a035854	PZ00001a035854		B73_TMT1_1	0.10743
PZ00001a036110	PZ00001a036110		B73_TMT1_1	0.0
PZ00001a036542	PZ00001a036542		B73_TMT1_1	0.0
PZ00001a036590	PZ00001a036590		B73_TMT1_1	0.077246
PZ00001a036773	PZ00001a036773		B73_TMT1_1	0.065739
PZ00001a036869	PZ00001a036869		B73_TMT1_1	0.058827
PZ00001a036943	PZ00001a036943		B73_TMT1_1	0.080296
PZ00001a036960	PZ00001a036960		B73_TMT1_1	0.048011
PZ00001a037462	PZ00001a037462		B73_TMT1_1	0.0
Zm00001d028561	Zm00001d028561		B73_TMT1_1	0.016857
PZ00001a038255	PZ00001a038255		B73_TMT1_1	0.076709
PZ00001a038721	PZ00001a038721		B73_TMT1_1	0.065
PZ00001a038990	PZ00001a038990		B73_TMT1_1	0.0
PZ00001a039059	PZ00001a039059		B73_TMT1_1	0.085977
PZ00001a039712	PZ00001a039712		B73_TMT1_1	0.060786
PZ00001a039820	PZ00001a039820		B73_TMT1_1	0.0
PZ00001a039928	PZ00001a039928		B73_TMT1_1	0.0
PZ00001a040104	PZ00001a040104		B73_TMT1_1	0.094624
PZ00001a040106	PZ00001a040106		B73_TMT1_1	0.084998
PZ00001a040387	PZ00001a040387		B73_TMT1_1	0.0
Zm00001d052322	Zm00001d052322		B73_TMT1_1	0.072502
PZ00001a040748	PZ00001a040748		B73_TMT1_1	0.0
PZ00001a040865	PZ00001a040865		B73_TMT1_1	0.070003
PZ00001a041027	PZ00001a041027		B73_TMT1_1	0.066227
PZ00001a041474	PZ00001a041474		B73_TMT1_1	0.054927
PZ00001a041495	PZ00001a041495		B73_TMT1_1	0.077097
PZ00001a041908	PZ00001a041908		B73_TMT1_1	0.032351
PZ00001a042081	PZ00001a042081		B73_TMT1_1	0.038494
PZ00001a042179	PZ00001a042179		B73_TMT1_1	0.0
PZ00001a042228	PZ00001a042228		B73_TMT1_1	0.0
PZ00001a042622	PZ00001a042622		B73_TMT1_1	0.0
PZ00001a043059	PZ00001a043059		B73_TMT1_1	0.0
Zm00001d040298	Zm00001d040298		B73_TMT1_1	0.073467
PZ00001a043370	PZ00001a043370		B73_TMT1_1	0.0
PZ00001a043401	PZ00001a043401		B73_TMT1_1	0.076561
PZ00001a043724	PZ00001a043724		B73_TMT1_1	0.0
PZ00001a043775	PZ00001a043775		B73_TMT1_1	0.0
PZ00001a043995	PZ00001a043995		B73_TMT1_1	0.0
PZ00001a044055	PZ00001a044055		B73_TMT1_1	0.0
PZ00001a044362	PZ00001a044362		B73_TMT1_1	0.077063
PZ00001a044386	PZ00001a044386		B73_TMT1_1	0.088534
PZ00001a044601	PZ00001a044601		B73_TMT1_1	0.0
PZ00001a044741	PZ00001a044741		B73_TMT1_1	0.076081
PZ00001a044822	PZ00001a044822		B73_TMT1_1	0.032661
PZ00001a045320	PZ00001a045320		B73_TMT1_1	0.0
Zm00001d014617	Zm00001d014617		B73_TMT1_1	0.030168
PZ00001a045671	PZ00001a045671		B73_TMT1_1	0.0
PZ00001a046371	PZ00001a046371		B73_TMT1_1	0.061698
PZ00001a047012	PZ00001a047012		B73_TMT1_1	0.027061
PZ00001a046642	PZ00001a046642		B73_TMT1_1	0.090035
PZ00001a047000	PZ00001a047000		B73_TMT1_1	0.0
PZ00001a047177	PZ00001a047177		B73_TMT1_1	0.067262
PZ00001a047296	PZ00001a047296		B73_TMT1_1	0.062077
PZ00001a047329	PZ00001a047329		B73_TMT1_1	0.0
PZ00001a047675	PZ00001a047675		B73_TMT1_1	0.031076
PZ00001a048125	PZ00001a048125		B73_TMT1_1	0.0
PZ00001a048488	PZ00001a048488		B73_TMT1_1	0.052308
PZ00001a049724	PZ00001a049724		B73_TMT1_1	0.035019
PZ00001a050328	PZ00001a050328		B73_TMT1_1	0.0
REV__PZ00001a048488	REV__PZ00001a048488		B73_TMT1_1	0.046716
Zm00001d000001	Zm00001d000001		B73_TMT1_1	0.034605
Zm00001d000002	Zm00001d000002		B73_TMT1_1	0.055936
Zm00001d000008	Zm00001d000008		B73_TMT1_1	0.071282
Zm00001d000018	Zm00001d000018		B73_TMT1_1	0.095195
Zm00001d000021	Zm00001d000021		B73_TMT1_1	0.08313
Zm00001d000023	Zm00001d000023		B73_TMT1_1	0.058788
Zm00001d025455	Zm00001d025455		B73_TMT1_1	0.0
Zm00001d000030	Zm00001d000030		B73_TMT1_1	0.065812
Zm00001d000035	Zm00001d000035		B73_TMT1_1	0.0
Zm00001d029946	Zm00001d029946		B73_TMT1_1	0.040134
Zm00001d000041	Zm00001d000041		B73_TMT1_1	0.060784
Zm00001d000045	Zm00001d000045		B73_TMT1_1	0.0
Zm00001d000046	Zm00001d000046		B73_TMT1_1	0.0
Zm00001d000055	Zm00001d000055		B73_TMT1_1	0.0
Zm00001d000060	Zm00001d000060		B73_TMT1_1	0.042597
Zm00001d000071	Zm00001d000071		B73_TMT1_1	0.0
Zm00001d000072	Zm00001d000072		B73_TMT1_1	0.0
Zm00001d000080	Zm00001d000080		B73_TMT1_1	0.0
Zm00001d016891	Zm00001d016891		B73_TMT1_1	0.0
Zm00001d000110	Zm00001d000110		B73_TMT1_1	0.0
Zm00001d000111	Zm00001d000111		B73_TMT1_1	0.0
Zm00001d000116	Zm00001d000116		B73_TMT1_1	0.084938
Zm00001d000120	Zm00001d000120		B73_TMT1_1	0.067293
Zm00001d000123	Zm00001d000123		B73_TMT1_1	0.054339
Zm00001d025323	Zm00001d025323		B73_TMT1_1	0.0
Zm00001d000126	Zm00001d000126		B73_TMT1_1	0.087203
Zm00001d000133	Zm00001d000133		B73_TMT1_1	0.089144
Zm00001d000153	Zm00001d000153		B73_TMT1_1	0.061452
Zm00001d000163	Zm00001d000163		B73_TMT1_1	0.067883
Zm00001d000164	Zm00001d000164		B73_TMT1_1	0.042139
Zm00001d000166	Zm00001d000166		B73_TMT1_1	0.0
Zm00001d000178	Zm00001d000178		B73_TMT1_1	0.071074
Zm00001d000184	Zm00001d000184		B73_TMT1_1	0.062497
Zm00001d000191	Zm00001d000191		B73_TMT1_1	0.068976
Zm00001d000197	Zm00001d000197		B73_TMT1_1	0.0
Zm00001d000202	Zm00001d000202		B73_TMT1_1	0.0
Zm00001d000213	Zm00001d000213		B73_TMT1_1	0.080506
Zm00001d000222	Zm00001d000222		B73_TMT1_1	0.06375
Zm00001d000226	Zm00001d000226		B73_TMT1_1	0.1183
Zm00001d000227	Zm00001d000227		B73_TMT1_1	0.071274
Zm00001d000230	Zm00001d000230		B73_TMT1_1	0.052667
Zm00001d000233	Zm00001d000233		B73_TMT1_1	0.0
Zm00001d000237	Zm00001d000237		B73_TMT1_1	0.099507
Zm00001d000240	Zm00001d000240		B73_TMT1_1	0.076817
Zm00001d000241	Zm00001d000241		B73_TMT1_1	0.078381
Zm00001d000256	Zm00001d000256		B73_TMT1_1	0.07433
Zm00001d000260	Zm00001d000260		B73_TMT1_1	0.037328
Zm00001d000270	Zm00001d000270		B73_TMT1_1	0.034014
Zm00001d000272	Zm00001d000272		B73_TMT1_1	0.036428
Zm00001d000277	Zm00001d000277		B73_TMT1_1	0.059637
Zm00001d000279	Zm00001d000279		B73_TMT1_1	0.039595
Zm00001d000282	Zm00001d000282		B73_TMT1_1	0.047089
Zm00001d005750	Zm00001d005750		B73_TMT1_1	0.056648
Zm00001d000294	Zm00001d000294		B73_TMT1_1	0.10646
Zm00001d000295	Zm00001d000295		B73_TMT1_1	0.076531
Zm00001d005500	Zm00001d005500		B73_TMT1_1	0.074847
Zm00001d000300	Zm00001d000300		B73_TMT1_1	0.076569
Zm00001d000302	Zm00001d000302		B73_TMT1_1	0.063316
Zm00001d000305	Zm00001d000305		B73_TMT1_1	0.096364
Zm00001d000310	Zm00001d000310		B73_TMT1_1	0.070085
Zm00001d000316	Zm00001d000316		B73_TMT1_1	0.037394
Zm00001d003550	Zm00001d003550		B73_TMT1_1	0.0
Zm00001d000320	Zm00001d000320		B73_TMT1_1	0.066855
Zm00001d028367	Zm00001d028367		B73_TMT1_1	0.077098
Zm00001d000345	Zm00001d000345		B73_TMT1_1	0.079004
Zm00001d000349	Zm00001d000349		B73_TMT1_1	0.0
Zm00001d000350	Zm00001d000350		B73_TMT1_1	0.0
Zm00001d043215	Zm00001d043215		B73_TMT1_1	0.0
Zm00001d000379	Zm00001d000379		B73_TMT1_1	0.055464
Zm00001d000396	Zm00001d000396		B73_TMT1_1	0.0
Zm00001d000399	Zm00001d000399		B73_TMT1_1	0.043689
Zm00001d000403	Zm00001d000403		B73_TMT1_1	0.084047
Zm00001d000406	Zm00001d000406		B73_TMT1_1	0.063553
Zm00001d000417	Zm00001d000417		B73_TMT1_1	0.046053
Zm00001d000418	Zm00001d000418		B73_TMT1_1	0.037209
Zm00001d000428	Zm00001d000428		B73_TMT1_1	0.080415
Zm00001d000430	Zm00001d000430		B73_TMT1_1	0.063871
Zm00001d000432	Zm00001d000432		B73_TMT1_1	0.077229
Zm00001d000436	Zm00001d000436		B73_TMT1_1	0.059094
Zm00001d021562	Zm00001d021562		B73_TMT1_1	0.061753
Zm00001d000443	Zm00001d000443		B73_TMT1_1	0.072539
Zm00001d001765	Zm00001d001765		B73_TMT1_1	0.071239
Zm00001d001771	Zm00001d001771		B73_TMT1_1	0.047942
Zm00001d001780	Zm00001d001780		B73_TMT1_1	0.0
Zm00001d001785	Zm00001d001785		B73_TMT1_1	0.05894
Zm00001d001786	Zm00001d001786		B73_TMT1_1	0.0
Zm00001d001787	Zm00001d001787		B73_TMT1_1	0.0
Zm00001d001788	Zm00001d001788		B73_TMT1_1	0.06475
Zm00001d001789	Zm00001d001789		B73_TMT1_1	0.12244
Zm00001d001790	Zm00001d001790		B73_TMT1_1	0.075545
Zm00001d001791	Zm00001d001791		B73_TMT1_1	0.0
Zm00001d001797	Zm00001d001797		B73_TMT1_1	0.0
Zm00001d001798	Zm00001d001798		B73_TMT1_1	0.0
Zm00001d001799	Zm00001d001799		B73_TMT1_1	0.062823
Zm00001d001800	Zm00001d001800		B73_TMT1_1	0.04663
Zm00001d001803	Zm00001d001803		B73_TMT1_1	0.0
Zm00001d001807	Zm00001d001807		B73_TMT1_1	0.081468
Zm00001d001808	Zm00001d001808		B73_TMT1_1	0.0
Zm00001d001809	Zm00001d001809		B73_TMT1_1	0.08315
Zm00001d001812	Zm00001d001812		B73_TMT1_1	0.036863
Zm00001d001813	Zm00001d001813		B73_TMT1_1	0.057801
Zm00001d001814	Zm00001d001814		B73_TMT1_1	0.076166
Zm00001d001819	Zm00001d001819		B73_TMT1_1	0.0
Zm00001d001820	Zm00001d001820		B73_TMT1_1	0.039184
Zm00001d001825	Zm00001d001825		B73_TMT1_1	0.0
Zm00001d001828	Zm00001d001828		B73_TMT1_1	0.073936
Zm00001d001830	Zm00001d001830		B73_TMT1_1	0.0
Zm00001d001831	Zm00001d001831		B73_TMT1_1	0.081728
Zm00001d001835	Zm00001d001835		B73_TMT1_1	0.0
Zm00001d001837	Zm00001d001837		B73_TMT1_1	0.085784
Zm00001d001841	Zm00001d001841		B73_TMT1_1	0.0
Zm00001d001843	Zm00001d001843		B73_TMT1_1	0.041618
Zm00001d001846	Zm00001d001846		B73_TMT1_1	0.074247
Zm00001d001848	Zm00001d001848		B73_TMT1_1	0.065264
Zm00001d001849	Zm00001d001849		B73_TMT1_1	0.077015
Zm00001d001850	Zm00001d001850		B73_TMT1_1	0.0
Zm00001d001856	Zm00001d001856		B73_TMT1_1	0.075404
Zm00001d001857	Zm00001d001857		B73_TMT1_1	0.022482
Zm00001d001859	Zm00001d001859		B73_TMT1_1	0.0
Zm00001d001860	Zm00001d001860		B73_TMT1_1	0.052794
Zm00001d001868	Zm00001d001868		B73_TMT1_1	0.085181
Zm00001d001870	Zm00001d001870		B73_TMT1_1	0.0
Zm00001d001879	Zm00001d001879		B73_TMT1_1	0.0
Zm00001d001881	Zm00001d001881		B73_TMT1_1	0.070774
Zm00001d003502	Zm00001d003502		B73_TMT1_1	0.075319
Zm00001d001884	Zm00001d001884		B73_TMT1_1	0.05965
Zm00001d001894	Zm00001d001894		B73_TMT1_1	0.03265
Zm00001d001895	Zm00001d001895		B73_TMT1_1	0.064206
Zm00001d001897	Zm00001d001897		B73_TMT1_1	0.0
Zm00001d001898	Zm00001d001898		B73_TMT1_1	0.0
Zm00001d001900	Zm00001d001900		B73_TMT1_1	0.072985
Zm00001d001901	Zm00001d001901		B73_TMT1_1	0.085904
Zm00001d001909	Zm00001d001909		B73_TMT1_1	0.027426
Zm00001d001928	Zm00001d001928		B73_TMT1_1	0.0
Zm00001d001932	Zm00001d001932		B73_TMT1_1	0.043775
Zm00001d001933	Zm00001d001933		B73_TMT1_1	0.076262
Zm00001d001935	Zm00001d001935		B73_TMT1_1	0.075364
Zm00001d001937	Zm00001d001937		B73_TMT1_1	0.0
Zm00001d001939	Zm00001d001939		B73_TMT1_1	0.046572
Zm00001d001940	Zm00001d001940		B73_TMT1_1	0.033942
Zm00001d001941	Zm00001d001941		B73_TMT1_1	0.069126
Zm00001d001943	Zm00001d001943		B73_TMT1_1	0.075549
Zm00001d001947	Zm00001d001947		B73_TMT1_1	0.060795
Zm00001d001952	Zm00001d001952		B73_TMT1_1	0.0
Zm00001d001953	Zm00001d001953		B73_TMT1_1	0.074419
Zm00001d001960	Zm00001d001960		B73_TMT1_1	0.0
Zm00001d001962	Zm00001d001962		B73_TMT1_1	0.063033
Zm00001d001966	Zm00001d001966		B73_TMT1_1	0.080859
Zm00001d001967	Zm00001d001967		B73_TMT1_1	0.059894
Zm00001d001968	Zm00001d001968		B73_TMT1_1	0.062049
Zm00001d001972	Zm00001d001972		B73_TMT1_1	0.04488
Zm00001d001973	Zm00001d001973		B73_TMT1_1	0.064902
Zm00001d001978	Zm00001d001978		B73_TMT1_1	0.041379
Zm00001d001979	Zm00001d001979		B73_TMT1_1	0.091367
Zm00001d001980	Zm00001d001980		B73_TMT1_1	0.13362
Zm00001d001983	Zm00001d001983		B73_TMT1_1	0.040285
Zm00001d025192	Zm00001d025192		B73_TMT1_1	0.0
Zm00001d001988	Zm00001d001988		B73_TMT1_1	0.074424
Zm00001d001994	Zm00001d001994		B73_TMT1_1	0.067665
Zm00001d001995	Zm00001d001995		B73_TMT1_1	0.05033
Zm00001d001999	Zm00001d001999		B73_TMT1_1	0.07868
Zm00001d002000	Zm00001d002000		B73_TMT1_1	0.046425
Zm00001d002001	Zm00001d002001		B73_TMT1_1	0.0
Zm00001d002003	Zm00001d002003		B73_TMT1_1	0.075747
Zm00001d002004	Zm00001d002004		B73_TMT1_1	0.060591
Zm00001d002006	Zm00001d002006		B73_TMT1_1	0.075137
Zm00001d002012	Zm00001d002012		B73_TMT1_1	0.060257
Zm00001d002014	Zm00001d002014		B73_TMT1_1	0.0
Zm00001d026489	Zm00001d026489		B73_TMT1_1	0.075971
Zm00001d002024	Zm00001d002024		B73_TMT1_1	0.062811
Zm00001d002027	Zm00001d002027		B73_TMT1_1	0.066304
Zm00001d002028	Zm00001d002028		B73_TMT1_1	0.060718
Zm00001d002034	Zm00001d002034		B73_TMT1_1	0.077181
Zm00001d002035	Zm00001d002035		B73_TMT1_1	0.11761
Zm00001d002038	Zm00001d002038		B73_TMT1_1	0.02989
Zm00001d002042	Zm00001d002042		B73_TMT1_1	0.0
Zm00001d002046	Zm00001d002046		B73_TMT1_1	0.065092
Zm00001d002051	Zm00001d002051		B73_TMT1_1	0.082485
Zm00001d002052	Zm00001d002052		B73_TMT1_1	0.053413
Zm00001d002053	Zm00001d002053		B73_TMT1_1	0.085815
Zm00001d002054	Zm00001d002054		B73_TMT1_1	0.0
Zm00001d002063	Zm00001d002063		B73_TMT1_1	0.086187
Zm00001d002064	Zm00001d002064		B73_TMT1_1	0.086546
Zm00001d002065	Zm00001d002065		B73_TMT1_1	0.056241
Zm00001d002066	Zm00001d002066		B73_TMT1_1	0.073613
Zm00001d002068	Zm00001d002068		B73_TMT1_1	0.03196
Zm00001d002079	Zm00001d002079		B73_TMT1_1	0.080969
Zm00001d026446	Zm00001d026446		B73_TMT1_1	0.0
Zm00001d002084	Zm00001d002084		B73_TMT1_1	0.0
Zm00001d002085	Zm00001d002085		B73_TMT1_1	0.077447
Zm00001d002089	Zm00001d002089		B73_TMT1_1	0.053071
Zm00001d002090	Zm00001d002090		B73_TMT1_1	0.0
Zm00001d002093	Zm00001d002093		B73_TMT1_1	0.0
Zm00001d002094	Zm00001d002094		B73_TMT1_1	0.035794
Zm00001d002095	Zm00001d002095		B73_TMT1_1	0.066236
Zm00001d002104	Zm00001d002104		B73_TMT1_1	0.056927
Zm00001d002105	Zm00001d002105		B73_TMT1_1	0.071038
Zm00001d002115	Zm00001d002115		B73_TMT1_1	0.0
Zm00001d002119	Zm00001d002119		B73_TMT1_1	0.0
Zm00001d026425	Zm00001d026425		B73_TMT1_1	0.06421
Zm00001d002124	Zm00001d002124		B73_TMT1_1	0.047741
Zm00001d002125	Zm00001d002125		B73_TMT1_1	0.05205
Zm00001d002128	Zm00001d002128		B73_TMT1_1	0.07252
Zm00001d002129	Zm00001d002129		B73_TMT1_1	0.052903
Zm00001d002130	Zm00001d002130		B73_TMT1_1	0.045358
Zm00001d002135	Zm00001d002135		B73_TMT1_1	0.065953
Zm00001d002139	Zm00001d002139		B73_TMT1_1	0.073072
Zm00001d002140	Zm00001d002140		B73_TMT1_1	0.047548
Zm00001d002141	Zm00001d002141		B73_TMT1_1	0.068367
Zm00001d002145	Zm00001d002145		B73_TMT1_1	0.07039
Zm00001d014147	Zm00001d014147		B73_TMT1_1	0.07462
Zm00001d050146	Zm00001d050146		B73_TMT1_1	0.089257
Zm00001d026394	Zm00001d026394		B73_TMT1_1	0.0
Zm00001d002153	Zm00001d002153		B73_TMT1_1	0.063584
Zm00001d002155	Zm00001d002155		B73_TMT1_1	0.069021
Zm00001d002163	Zm00001d002163		B73_TMT1_1	0.075095
Zm00001d002166	Zm00001d002166		B73_TMT1_1	0.083362
Zm00001d002167	Zm00001d002167		B73_TMT1_1	0.0
Zm00001d002169	Zm00001d002169		B73_TMT1_1	0.0
Zm00001d002175	Zm00001d002175		B73_TMT1_1	0.076762
Zm00001d002176	Zm00001d002176		B73_TMT1_1	0.0
