Master Protein Accessions	Protein Description	Gene Symbol	Abundance WT1	Abundance WT2	Abundance WT3	Abundance WT4	Abundance WT_H2O2_1	Abundance WT_H2O2_2	Abundance WT_H2O2_3	Abundance WT_H2O2_4
orf19.1153			1444600000.0	1365700000.0	250760000.0	248080000.0	2018200000.0	1382700000.0	928450000.0	799760000.0
orf19.1154			5959499999.999999	4840700000.0	7486799999.999999	6862999999.999999	1912700000.0	7245699999.999999	6871699999.999999	8270899999.999999
orf19.1161			26161000.0	20653000.0	9111100.0	12659000.0	0.0	13002000.0	10010000.0	0.0
orf19.1162			85374000.0	74578000.0	62712000.0	146930000.0	26601000.0	11854000.0	39130000.0	16520000.0
orf19.1164			0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
orf19.1166			388570000.0	384210000.0	148660000.0	164370000.0	290080000.0	312740000.0	259890000.0	284800000.0
orf19.117			85514000.0	61308000.0	49357000.0	69862000.0	39530000.0	80023000.0	36265000.0	45172000.0
orf19.1180			30336000.0	32628000.0	36639000.0	29715000.0	70740000.0	40981000.0	38273000.0	37568000.0
orf19.1198			18968000.0	16246000.0	29981000.0	27717000.0	29898000.0	19748000.0	11734000.0	24375000.0
orf19.1199			44526000.0	33688000.0	15790000.0	21859000.0	37668000.0	41384000.0	45060000.0	68150000.0
orf19.1212			38730000.0	40317000.0	18081000.0	20357000.0	14158000.0	19442000.0	34178000.0	47410000.0
orf19.1214			38269000.0	24438000.0	89240000.0	119970000.0	0.0	18473000.0	7485000.0	18324000.0
orf19.1228			0.0	0.0	14884000.0	19309000.0	1296900.0	19046000.0	18707000.0	3510800.0
orf19.1233			17405000.0	0.0	0.0	0.0	17035000.0	42759000.0	0.0	0.0
orf19.1236			446750000.0	278320000.0	27795000.0	56730000.0	186500000.0	428200000.0	87217000.0	102480000.0
orf19.1237			3763500.0	0.0	0.0	0.0	595150000.0	412930000.0	235550000.0	28471000.0
orf19.124			3247100.0	0.0	121480000.0	97925000.0	0.0	0.0	72605000.0	120270000.0
orf19.1246			215190000.0	130020000.0	82301000.0	145860000.0	51328000.0	145030000.0	111100000.0	104060000.0
orf19.1248			24310000.0	44024000.0	47189000.0	116310000.0	42394000.0	73183000.0	27888000.0	36068000.0
orf19.1249			0.0	0.0	0.0	3031000.0	1620300.0	0.0	0.0	2014300.0
orf19.125			481340000.0	618660000.0	373590000.0	416110000.0	7090699999.999999	5935299999.999999	3751900000.0	1892100000.0
orf19.1253			1378300.0	11101000.0	4888700.0	36714000.0	0.0	0.0	0.0	22117000.0
orf19.1254			37759000.0	34557000.0	29875000.0	37731000.0	0.0	3036600.0	24630000.0	0.0
orf19.1267			16234000.0	0.0	0.0	0.0	11762000.0	2661200.0	0.0	17868000.0
orf19.1267.1			32162000.0	52450000.0	68937000.0	9232100.0	30081000.0	123220000.0	64423000.0	89807000.0
orf19.1272			0.0	0.0	0.0	10375000.0	0.0	0.0	0.0	0.0
orf19.1273			417520000.0	554830000.0	233240000.0	326050000.0	315210000.0	230990000.0	244660000.0	218750000.0
orf19.1277			16214000.0	9483600.0	3879300.0	5041400.0	0.0	5890600.0	4079000.0	0.0
orf19.1280			420740000.0	604630000.0	582110000.0	924140000.0	363130000.0	690340000.0	662680000.0	593780000.0
orf19.1282			128880000.0	124920000.0	121170000.0	82589000.0	99585000.0	117570000.0	120630000.0	86776000.0
orf19.1288			0.0	0.0	89819000.0	55710000.0	0.0	9951600.0	0.0	13945000.0
orf19.1290			312870000.0	249860000.0	206110000.0	186180000.0	319390000.0	200870000.0	249700000.0	189110000.0
orf19.1291			0.0	0.0	28552000.0	16344000.0	26306000.0	0.0	0.0	5391300.0
orf19.1295			40905000.0	39917000.0	75467000.0	48206000.0	21897000.0	57574000.0	59631000.0	98802000.0
orf19.1299			0.0	5313800.0	0.0	0.0	38905000.0	59997000.0	5239900.0	0.0
orf19.1301			141670000.0	102480000.0	67432000.0	86208000.0	124590000.0	181360000.0	76070000.0	72042000.0
orf19.1304			0.0	0.0	33344000.0	40209000.0	10043000.0	10723000.0	30911000.0	22056000.0
orf19.1309			19256000.0	20738000.0	12535000.0	16035000.0	24603000.0	25436000.0	15852000.0	17593000.0
orf19.1336			627040000.0	638630000.0	424600000.0	550560000.0	981760000.0	1111500000.0	581200000.0	542200000.0
orf19.1338			7642100.0	6996800.0	0.0	2443200.0	0.0	3466500.0	5298700.0	4511900.0
orf19.1339			130730000.0	157720000.0	214720000.0	104770000.0	460670000.0	463230000.0	303030000.0	189440000.0
orf19.1340			22726000.0	41601000.0	28317000.0	53262000.0	138130000.0	195740000.0	47197000.0	29310000.0
orf19.1342			3983000000.0	3394199999.9999995	1806100000.0	1727499999.9999998	3730200000.0	2699500000.0	2369700000.0	2488200000.0
orf19.1354			38287000.0	56701000.0	18966000.0	78478000.0	0.0	59194000.0	1533400.0	44210000.0
orf19.1355			0.0	61954000.0	217750000.0	369250000.0	0.0	123590000.0	64130000.0	133840000.0
orf19.1359			0.0	0.0	0.0	0.0	0.0	0.0	0.0	10429000.0
orf19.1361			7373600.0	17972000.0	0.0	0.0	0.0	5384000.0	0.0	3442600.0
orf19.1362			0.0	0.0	14086000.0	0.0	0.0	0.0	0.0	12667000.0
orf19.1374			105510000.0	69286000.0	52676000.0	74967000.0	67581000.0	120710000.0	39280000.0	43377000.0
orf19.1375			97019000.0	193370000.0	266010000.0	175990000.0	1034400000.0	752050000.0	465390000.0	207850000.0
orf19.1376			174490000.0	129330000.0	12903000.0	1574400.0	63766000.0	31966000.0	50884000.0	51135000.0
orf19.1378			77801000.0	75618000.0	51847000.0	78441000.0	45071000.0	95110000.0	77936000.0	83852000.0
orf19.1388			26654000.0	30183000.0	88638000.0	122470000.0	46019000.0	115200000.0	126480000.0	106800000.0
orf19.1389			117240000.0	93991000.0	231480000.0	141870000.0	79454000.0	120240000.0	106780000.0	159810000.0
orf19.1390			3936900000.0	3367699999.9999995	2826700000.0	3080699999.9999995	2920099999.9999995	2774200000.0	2554900000.0	2317400000.0
orf19.1394			348550000.0	317320000.0	216900000.0	281690000.0	326690000.0	382210000.0	243630000.0	77550000.0
orf19.1396			11238000.0	9163100.0	4816000.0	4665600.0	0.0	9303900.0	3557700.0	0.0
orf19.1402			1854600.0	12117000.0	15316000.0	30314000.0	34993000.0	37369000.0	9392100.0	0.0
orf19.1404			0.0	7759000.0	0.0	1847900.0	9855300.0	10542000.0	0.0	8455500.0
orf19.1409.1			2064600000.0	2439800000.0	1703999999.9999998	1826500000.0	3141299999.9999995	2358400000.0	2769600000.0	3539299999.9999995
orf19.1412			7866500.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
orf19.1413			141790000.0	122650000.0	120110000.0	117290000.0	140990000.0	162320000.0	54488000.0	106000000.0
orf19.1414			76723000.0	63052000.0	32044000.0	43044000.0	18806000.0	152460000.0	24798000.0	18924000.0
orf19.1421			0.0	0.0	0.0	0.0	0.0	3719100.0	0.0	0.0
orf19.1422			0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
orf19.1426			20020000.0	15584000.0	3683100.0	10139000.0	3280900.0	6145700.0	8982300.0	5726900.0
orf19.1433			0.0	0.0	10303000.0	0.0	3928000.0	0.0	22248000.0	2943900.0
orf19.382			10882000000.0	7975799999.999999	4363000000.0	5988899999.999999	5703800000.0	7979799999.999999	5589400000.0	7016499999.999999
orf19.1442			7042700.0	0.0	0.0	0.0	8780500.0	7530100.0	14279000.0	22957000.0
orf19.1444			268620000.0	134820000.0	128950000.0	117470000.0	37253000.0	159230000.0	120510000.0	143740000.0
orf19.1448			47550000.0	30370000.0	679690000.0	727890000.0	7385200.0	59398000.0	570050000.0	509050000.0
orf19.1448.1			0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
orf19.145			238530000.0	255560000.0	274190000.0	270980000.0	129650000.0	435940000.0	95740000.0	121840000.0
orf19.1458			0.0	0.0	0.0	0.0	0.0	0.0	0.0	3482100.0
orf19.1460			239790000.0	197660000.0	93066000.0	144460000.0	412020000.0	312260000.0	303960000.0	211070000.0
orf19.1466			0.0	0.0	0.0	0.0	4797300.0	6548200.0	0.0	0.0
orf19.1467			40044000.0	28826000.0	4361000.0	8276100.0	2936100.0	7257100.0	6206300.0	42278000.0
orf19.1468			8031000.0	5885000.0	0.0	15153000.0	8105400.0	7840700.0	4680900.0	0.0
orf19.1470			564420000.0	1202600000.0	801870000.0	998580000.0	1234000000.0	1092500000.0	954760000.0	845830000.0
orf19.1471			2177600000.0	1231600000.0	304080000.0	342620000.0	673160000.0	707260000.0	254060000.0	310960000.0
orf19.1474			54706000.0	44754000.0	6692700.0	20836000.0	247620000.0	618480000.0	81355000.0	114710000.0
orf19.1479			37490000.0	31043000.0	5358000.0	7397300.0	0.0	17276000.0	10710000.0	14536000.0
orf19.1483			45793000.0	30480000.0	32881000.0	52870000.0	33712000.0	58452000.0	25018000.0	36965000.0
orf19.1485			16656000.0	71368000.0	13132000.0	9071900.0	57896000.0	36974000.0	16705000.0	8031500.0
orf19.1493			0.0	0.0	0.0	0.0	0.0	10606000.0	0.0	0.0
orf19.1494			350290000.0	262970000.0	88334000.0	163010000.0	217330000.0	352060000.0	130680000.0	123740000.0
orf19.1495			77502000.0	82308000.0	119300000.0	130500000.0	118780000.0	137830000.0	85441000.0	63025000.0
orf19.1516			7979000.0	19567000.0	27516000.0	36367000.0	35953000.0	113490000.0	34692000.0	45344000.0
orf19.1517			966400000.0	1795399999.9999998	2281000000.0	2641100000.0	2838600000.0	3081299999.9999995	1902600000.0	1985100000.0
orf19.1535			14563000.0	22786000.0	23344000.0	18561000.0	0.0	6444100.0	7451400.0	15425000.0
orf19.1544			163920000.0	98314000.0	111750000.0	159350000.0	58506000.0	109720000.0	115050000.0	165440000.0
orf19.1545			0.0	20409000.0	15222000.0	37830000.0	58234000.0	73720000.0	18929000.0	25128000.0
orf19.155			0.0	0.0	55526000.0	46978000.0	22196000.0	29638000.0	45200000.0	37125000.0
orf19.1552			3045699999.9999995	2914799999.9999995	2261100000.0	2709900000.0	1902700000.0	3468999999.9999995	2261700000.0	2400100000.0
orf19.1553			268920000.0	252210000.0	209290000.0	174160000.0	268740000.0	428320000.0	176690000.0	206330000.0
orf19.1559			3369599999.9999995	3056199999.9999995	2205200000.0	2050400000.0	2726600000.0	3151999999.9999995	2066600000.0	2039200000.0
orf19.1565			0.0	3020500.0	2896500.0	4856600.0	0.0	0.0	6053100.0	0.0
orf19.1566			0.0	0.0	13017000.0	8479600.0	0.0	12355000.0	0.0	3956100.0
orf19.1575			14680000.0	54733000.0	76083000.0	148480000.0	17357000.0	137760000.0	13488000.0	10793000.0
orf19.158			0.0	0.0	5977400.0	4446000.0	0.0	0.0	0.0	0.0
orf19.5797			7146000.0	35443000.0	49236000.0	47993000.0	12619000.0	44485000.0	9651000.0	34356000.0
orf19.1588			370150000.0	140270000.0	189350000.0	133220000.0	83385000.0	184720000.0	260100000.0	278270000.0
orf19.5809			43390000.0	33213000.0	63645000.0	21021000.0	60826000.0	53496000.0	32883000.0	0.0
orf19.1591			10335000000.0	9231900000.0	7143199999.999999	8118299999.999999	7570899999.999999	8068899999.999999	6976699999.999999	7358799999.999999
orf19.1601			7523599999.999999	9788900000.0	9702600000.0	9692600000.0	15468000000.0	10465000000.0	13335000000.0	16820000000.0
orf19.1609			30830000.0	20971000.0	72952000.0	89008000.0	30186000.0	67724000.0	66377000.0	102020000.0
orf19.1613			32424000.0	31567000.0	0.0	0.0	59333000.0	97733000.0	0.0	17197000.0
orf19.1623			114570000.0	43148000.0	76620000.0	87994000.0	81433000.0	173190000.0	100920000.0	72843000.0
orf19.1626			465840000.0	421310000.0	543470000.0	687120000.0	854450000.0	598570000.0	548490000.0	676820000.0
orf19.1628			912480000.0	840300000.0	709600000.0	599700000.0	1438200000.0	1571899999.9999998	1027000000.0	721480000.0
orf19.163			33563000.0	74378000.0	232600000.0	212390000.0	72129000.0	136570000.0	132130000.0	176120000.0
orf19.1630			9869700.0	12424000.0	0.0	0.0	0.0	0.0	0.0	0.0
orf19.1631			20806000.0	25731000.0	17767000.0	20253000.0	13416000.0	26283000.0	41018000.0	93200000.0
